ts,time,TAC,blocked,cutoff,volte,msg,tot,tot_c
1018011,10/18/2018 1:10,28685,68,279,36083,2333,111282,0.996881796
1018011,10/18/2018 1:10,28688,76,256,34016,2305,91830,0.996384624
1018011,10/18/2018 1:10,29449,71,108,7820,795,21586,0.991707588
1018011,10/18/2018 1:10,29465,16,41,3255,252,10345,0.994490092
1018012,10/18/2018 1:20,27214,18,165,7068,1014,21165,0.99135365
1018012,10/18/2018 1:20,28672,0,0,264,18,900,1
1018012,10/18/2018 1:20,28681,17,79,17946,1087,52160,0.998159509
1018012,10/18/2018 1:20,28682,120,162,38069,1993,104945,0.997312878
1018012,10/18/2018 1:20,28683,15,60,19884,666,54127,0.99861437
1018012,10/18/2018 1:20,28684,85,155,31690,1408,99265,0.997582229
1018012,10/18/2018 1:20,28685,99,156,31854,1800,104399,0.997557448
1018012,10/18/2018 1:20,28688,61,128,32603,2014,91748,0.99794001
1018012,10/18/2018 1:20,29449,71,109,7107,467,20656,0.991285825
1018012,10/18/2018 1:20,29465,15,45,3012,160,9729,0.993832871
1018013,10/18/2018 1:30,27214,0,108,5793,786,18075,0.994024896
1018013,10/18/2018 1:30,28672,0,6,192,30,762,0.992125984
1018013,10/18/2018 1:30,28681,77,201,18050,1143,53689,0.994822031
1018013,10/18/2018 1:30,28682,78,150,35389,1715,105573,0.997840357
1018013,10/18/2018 1:30,28683,52,24,19131,676,54766,0.998612278
1018013,10/18/2018 1:30,28684,37,152,29764,1247,99065,0.998092162
1018013,10/18/2018 1:30,28685,91,188,31782,1542,103511,0.997304634
1018013,10/18/2018 1:30,28688,86,122,31016,1663,87011,0.997609498
1018013,10/18/2018 1:30,29449,74,171,6563,469,20381,0.987979
1018013,10/18/2018 1:30,29465,0,17,2993,198,10129,0.998321651
1018014,10/18/2018 1:40,27214,60,81,5580,597,16530,0.991470054
1018014,10/18/2018 1:40,28672,0,0,198,18,714,1
1018014,10/18/2018 1:40,28681,46,113,15145,1657,50847,0.996872972
1018014,10/18/2018 1:40,28682,62,154,33864,1679,103806,0.997919195
1018014,10/18/2018 1:40,28683,12,122,17566,622,51056,0.997375431
1018014,10/18/2018 1:40,28684,69,170,27367,1732,94071,0.997459366
1018014,10/18/2018 1:40,28685,73,175,30017,1440,101538,0.997557565
1018014,10/18/2018 1:40,28688,71,166,29003,1405,84925,0.997209302
1018014,10/18/2018 1:40,29449,106,100,5926,437,19049,0.989185784
1018014,10/18/2018 1:40,29465,22,41,2604,263,8970,0.992976589
1018015,10/18/2018 1:50,27214,48,93,5196,990,17265,0.991833189
1018015,10/18/2018 1:50,28672,0,0,144,12,648,1
1018015,10/18/2018 1:50,28681,64,193,15153,1882,49384,0.994795885
1018015,10/18/2018 1:50,28682,69,139,33422,1480,99488,0.997909296
1018015,10/18/2018 1:50,28683,6,52,17671,718,50205,0.998844737
1018015,10/18/2018 1:50,28684,56,146,26389,1472,93282,0.997834523
1018015,10/18/2018 1:50,28685,72,137,27755,1879,97779,0.997862527
1018015,10/18/2018 1:50,28688,139,120,26911,1222,80734,0.996791934
1018015,10/18/2018 1:50,29449,71,137,5547,820,18363,0.988672875
1018015,10/18/2018 1:50,29465,10,81,2709,356,8842,0.989708211
1018020,10/18/2018 2:00,27214,39,108,4725,687,16146,0.990895578
1018020,10/18/2018 2:00,28672,6,6,216,24,756,0.984126984
1018020,10/18/2018 2:00,28681,100,125,14587,1471,46928,0.995205421
1018020,10/18/2018 2:00,28682,37,59,30191,1446,96427,0.999004428
1018020,10/18/2018 2:00,28683,54,64,18076,474,50460,0.997661514
1018020,10/18/2018 2:00,28684,22,137,24977,1339,89520,0.998223861
1018020,10/18/2018 2:00,28685,150,142,28078,1409,98166,0.997025447
1018020,10/18/2018 2:00,28688,59,132,25978,1303,80965,0.997640956
1018020,10/18/2018 2:00,29449,52,121,5576,427,18338,0.990566038
1018020,10/18/2018 2:00,29465,7,51,2426,171,8518,0.99319089
1018021,10/18/2018 2:10,27214,6,54,3756,453,15201,0.996052891
1018021,10/18/2018 2:10,28672,0,0,156,36,822,1
1018021,10/18/2018 2:10,28681,43,137,14135,1433,47607,0.996219043
1018021,10/18/2018 2:10,28682,106,157,30314,1923,93754,0.997194786
1018021,10/18/2018 2:10,28683,49,77,17231,510,50135,0.997486786
1018021,10/18/2018 2:10,28684,40,142,23415,1411,88788,0.997950173
1018021,10/18/2018 2:10,28685,156,140,25331,1735,95370,0.996896299
1018021,10/18/2018 2:10,28688,81,131,25683,1151,78969,0.997315402
1018021,10/18/2018 2:10,29449,53,145,4634,456,16574,0.988053578
1018021,10/18/2018 2:10,29465,13,50,2547,197,9104,0.993079965
1018022,10/18/2018 2:20,27214,30,30,3942,540,15654,0.996167114
1018022,10/18/2018 2:20,28672,0,0,144,30,594,1
1018022,10/18/2018 2:20,28681,106,111,11839,1510,45959,0.9952784
1018022,10/18/2018 2:20,28682,34,159,26164,2126,89830,0.997851497
1018022,10/18/2018 2:20,28683,48,91,16417,462,47361,0.997065096
1018022,10/18/2018 2:20,28684,6,134,21141,1126,82558,0.998304222
1018022,10/18/2018 2:20,28685,39,190,23670,1264,92675,0.997528999
1018022,10/18/2018 2:20,28688,65,187,22725,1148,74619,0.996622844
1018022,10/18/2018 2:20,29449,21,144,4355,502,17308,0.990466836
1018022,10/18/2018 2:20,29465,0,6,1891,263,8125,0.999261538
1018023,10/18/2018 2:30,27214,9,18,3546,684,14211,0.998100063
1018023,10/18/2018 2:30,28672,0,0,174,12,672,1
1018023,10/18/2018 2:30,28681,52,159,11339,2004,45115,0.995323063
